area_type,availability,Location,society,Area,Bathroom,balcony,Price,Bhk
Super built-up  Area,Ready To Move,Malleshwaram,Sariaat,2475.0,4.0,3.0,326.0,3
Super built-up  Area,Ready To Move,Malleshwaram,Sariaat,2475.0,4.0,3.0,340.0,3
Super built-up  Area,Ready To Move,Malleshwaram,Sariaat,2475.0,4.0,3.0,300.0,3
Super built-up  Area,Ready To Move,Malleshwaram,Apinaa ,2610.0,4.0,2.0,306.0,4
Super built-up  Area,Ready To Move,Marathahalli,Aiitya ,1200.0,2.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Marathahalli,Aahts H,1230.0,2.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,3800.0,4.0,3.0,250.0,4
Super built-up  Area,Ready To Move,Marathahalli,PuilaMi,1215.0,2.0,1.0,67.0,2
Super built-up  Area,Ready To Move,Marathahalli,Sutte C,2181.0,3.0,2.0,152.0,4
Super built-up  Area,Ready To Move,Marathahalli,SatatHa,1610.0,3.0,1.0,90.0,3
Super built-up  Area,19-Dec,Marathahalli,PrensKe,1146.0,2.0,1.0,70.0,2
Super built-up  Area,19-Dec,Marathahalli,PrensKe,1469.0,3.0,1.0,89.0,3
Super built-up  Area,Ready To Move,Marathahalli,PadgeOa,1840.0,3.0,3.0,98.0,3
Built-up  Area,Ready To Move,Marathahalli,PueraRi,3951.0,4.0,2.0,220.0,4
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,1583.0,3.0,3.0,105.0,3
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,1900.0,3.0,3.0,123.0,3
Super built-up  Area,19-Mar,Marathahalli,Unezes ,1305.0,2.0,1.0,69.0,3
Super built-up  Area,Ready To Move,Marathahalli,Vaoodar,1365.0,2.0,2.0,73.0,2
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,3800.0,4.0,3.0,205.0,4
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,3895.0,4.0,3.0,220.0,4
Super built-up  Area,Ready To Move,Marathahalli,Vaoodar,1785.0,3.0,2.0,94.0,3
Built-up  Area,Ready To Move,Marathahalli,PueraRi,4000.0,4.0,3.0,220.0,4
Built-up  Area,Ready To Move,Marathahalli,PueraRi,1325.0,1.0,1.0,92.0,2
Super built-up  Area,Ready To Move,Marathahalli,Valdsic,1550.0,3.0,2.0,83.0,3
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1350.0,2.0,1.0,86.0,2
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,4000.0,4.0,3.0,220.0,4
Super built-up  Area,19-Mar,Marathahalli,Unezes ,607.0,1.0,1.0,35.0,1
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,1583.0,3.0,3.0,109.0,3
Super built-up  Area,Ready To Move,Marathahalli,PuilaMi,1595.0,3.0,2.0,90.0,3
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1350.0,2.0,1.0,89.0,2
Super built-up  Area,Ready To Move,Marathahalli,Aiitya ,1020.0,2.0,1.0,57.0,2
Super built-up  Area,18-Apr,Marathahalli,PuilaMi,1600.0,3.0,2.0,88.0,2
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1710.0,3.0,2.0,100.0,3
Super built-up  Area,17-Jul,Marathahalli,Prionad,1358.0,2.0,1.0,81.0,2
Super built-up  Area,Ready To Move,Marathahalli,Dwterai,1205.0,2.0,1.0,75.0,2
Built-up  Area,Ready To Move,Marathahalli,Vantsra,1200.0,2.0,1.0,67.0,2
Built-up  Area,Ready To Move,Marathahalli,Palanla,1050.0,2.0,1.0,65.0,2
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,3940.0,4.0,3.0,220.0,4
Super built-up  Area,Ready To Move,Marathahalli,Palanla,1435.0,3.0,1.0,73.0,3
Super built-up  Area,18-Dec,Marathahalli,Unezes ,881.0,2.0,1.0,48.06,2
Super built-up  Area,Ready To Move,Marathahalli,Thowsil,1130.0,2.0,2.0,58.0,3
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1710.0,3.0,2.0,100.0,3
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1680.0,3.0,3.0,105.0,3
Super built-up  Area,19-Mar,Marathahalli,Unezes ,700.0,1.0,1.0,38.0,1
Super built-up  Area,19-Dec,Marathahalli,PrensKe,1469.0,3.0,1.0,89.0,3
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1690.0,3.0,2.0,116.0,3
Super built-up  Area,Ready To Move,Marathahalli,Inden O,1065.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Marathahalli,PuilaMi,1595.0,3.0,2.0,88.0,3
Super built-up  Area,19-Sep,Marathahalli,Vaeva E,2122.0,3.0,2.0,125.0,3
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1730.0,3.0,2.0,115.0,3
Built-up  Area,Ready To Move,Marathahalli,Suvals ,1250.0,2.0,2.0,68.0,2
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1350.0,2.0,1.0,90.0,2
Super built-up  Area,Ready To Move,Marathahalli,Prionad,2500.0,5.0,2.0,175.0,4
Built-up  Area,Ready To Move,Marathahalli,PueraRi,3855.0,4.0,3.0,220.0,4
Super built-up  Area,Ready To Move,Marathahalli,Asintas,3400.0,4.0,3.0,235.0,4
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,3800.0,4.0,3.0,235.0,4
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,3951.0,4.0,3.0,230.0,4
Super built-up  Area,Ready To Move,Marathahalli,Xeitaa ,1270.0,2.0,3.0,73.0,2
Super built-up  Area,Ready To Move,Marathahalli,Valdsic,1550.0,3.0,2.0,85.0,3
Super built-up  Area,Ready To Move,Marathahalli,Saavean,1144.0,2.0,2.0,65.0,2
Super built-up  Area,19-Mar,Marathahalli,Unezes ,1108.0,2.0,1.0,60.0,3
Super built-up  Area,Ready To Move,Marathahalli,Vaoodar,1800.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Marathahalli,Vaoodar,1650.0,3.0,2.0,85.0,3
Built-up  Area,Ready To Move,Marathahalli,Aantspa,1270.0,2.0,2.0,80.0,2
Super built-up  Area,19-Dec,Marathahalli,PrensKe,1146.0,2.0,1.0,69.0,2
Plot  Area,Ready To Move,Marsur,AreraRe,1800.0,4.0,2.0,145.0,4
Plot  Area,Ready To Move,Marsur,AreraRe,1200.0,3.0,1.0,90.0,3
Plot  Area,Ready To Move,Marsur,AreraRe,1200.0,3.0,1.0,120.0,3
Super built-up  Area,18-Apr,Munnekollal,Sadhii ,1102.0,2.0,2.0,53.67,2
Built-up  Area,Ready To Move,Munnekollal,Keids O,1390.0,3.0,2.0,68.0,3
Super built-up  Area,18-Apr,Munnekollal,Sadhii ,950.0,2.0,1.0,46.5,2
Built-up  Area,Ready To Move,Munnekollal,DaniaNe,1560.0,3.0,3.0,75.0,3
Super built-up  Area,Ready To Move,Munnekollal,DSalehn,1750.0,3.0,3.0,86.5,3
Super built-up  Area,18-Apr,Munnekollal,Sadhii ,1385.0,2.0,2.0,66.5,3
Built-up  Area,Ready To Move,Munnekollal,PancyRe,1080.0,2.0,2.0,45.0,2
Built-up  Area,Ready To Move,Munnekollal,Raisys ,1540.0,2.0,3.0,70.0,3
Super built-up  Area,18-Apr,Munnekollal,Sadhii ,1200.0,2.0,1.0,57.9,3
Super built-up  Area,18-Apr,Munnekollal,Sadhii ,1030.0,2.0,1.0,50.36,2
Super built-up  Area,Ready To Move,Mysore Road,PrntaEn,1175.0,2.0,2.0,73.5,2
Super built-up  Area,19-Apr,Mysore Road,Brama P,1710.0,4.0,2.0,91.31,3
Super built-up  Area,Ready To Move,Mysore Road,PrntaEn,1200.0,2.0,1.0,85.0,2
Super built-up  Area,Ready To Move,Mysore Road,Srkha S,1060.0,2.0,1.0,62.0,2
Super built-up  Area,19-Apr,Mysore Road,Brama P,980.0,2.0,1.0,45.47,2
Super built-up  Area,Ready To Move,Mysore Road,SaodySa,1512.0,2.0,2.0,110.0,3
Super built-up  Area,19-Apr,Mysore Road,Brama P,1070.0,2.0,1.0,49.65,2
Plot  Area,Ready To Move,Mysore Road,SrageGl,900.0,2.0,0.0,65.0,2
Built-up  Area,Ready To Move,Mysore Road,PrawnRa,883.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Mysore Road,SaodySa,1237.0,2.0,2.0,73.0,2
Super built-up  Area,Ready To Move,Mysore Road,PrawnRa,883.0,2.0,1.0,45.0,2
Super built-up  Area,19-Apr,Mysore Road,Brama P,940.0,2.0,1.0,43.61,2
Super built-up  Area,19-Apr,Mysore Road,Brama P,1500.0,3.0,2.0,74.0,3
Super built-up  Area,Ready To Move,Mysore Road,SaodySa,1568.0,2.0,2.0,100.0,3
Super built-up  Area,19-Apr,Mysore Road,Brama P,1410.0,2.0,2.0,64.0,3
Built-up  Area,Ready To Move,Mysore Road,PrntaEn,1175.0,2.0,2.0,70.5,2
Super built-up  Area,Ready To Move,Mysore Road,Brama P,1500.0,3.0,2.0,70.0,3
Super built-up  Area,Ready To Move,Nagarbhavi,MaentNa,884.0,2.0,2.0,36.0,1
Built-up  Area,Ready To Move,Nagarbhavi,DSesthr,1350.0,2.0,2.0,54.6,3
Super built-up  Area,Ready To Move,Nagarbhavi,SVdhaig,1223.0,2.0,1.0,60.0,2
Built-up  Area,Ready To Move,Nagarbhavi,Jaiewke,956.0,2.0,1.0,49.0,2
Super built-up  Area,Ready To Move,Nagarbhavi,DSdhiSa,1560.0,3.0,3.0,66.0,3
Super built-up  Area,Ready To Move,Nagarbhavi,Deens G,1515.0,2.0,1.0,79.0,3
Super built-up  Area,Ready To Move,Nagarbhavi,Shentpa,1146.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Nagarbhavi,KohraNa,1190.0,2.0,2.0,63.0,2
Super built-up  Area,Ready To Move,Nagarbhavi,Deens G,1635.0,3.0,3.0,85.0,3
Super built-up  Area,17-Dec,Nagavarapalya,PuonsSe,1392.0,2.0,1.0,99.0,2
Super built-up  Area,Ready To Move,Nagavarapalya,PuonsSe,705.0,1.0,1.0,52.5,1
Super built-up  Area,Ready To Move,Nagavarapalya,Giconal,1300.0,3.0,1.0,80.0,3
Super built-up  Area,Ready To Move,Nagavarapalya,PuonsSe,705.0,1.0,1.0,57.0,1
Super built-up  Area,Ready To Move,Nagavarapalya,PuonsSe,705.0,1.0,1.0,55.0,1
Super built-up  Area,18-Jan,Nagavarapalya,PuonsSe,705.0,1.0,1.0,57.0,1
Super built-up  Area,Ready To Move,Nagavarapalya,Goeenes,1335.0,2.0,3.0,110.0,2
Super built-up  Area,Ready To Move,Neeladri Nagar,NatisAt,1053.0,2.0,1.0,45.0,2
Super built-up  Area,Ready To Move,Neeladri Nagar,GeereEc,1363.0,2.0,2.0,68.0,2
Super built-up  Area,Ready To Move,Neeladri Nagar,GeereEc,2556.0,3.0,2.0,133.0,3
Super built-up  Area,Ready To Move,Neeladri Nagar,Guenoa ,674.0,1.0,1.0,21.0,1
Built-up  Area,Ready To Move,Neeladri Nagar,AdingSV,527.0,1.0,0.0,26.0,1
Super built-up  Area,Ready To Move,Neeladri Nagar,AdingSV,1167.0,2.0,1.0,38.0,3
Built-up  Area,Ready To Move,Neeladri Nagar,Guenoa ,640.0,1.0,1.0,20.5,1
Super built-up  Area,18-Apr,Neeladri Nagar,SKisyDa,1105.0,2.0,2.0,30.0,2
Super built-up  Area,Ready To Move,Neeladri Nagar,Vincy R,1100.0,2.0,2.0,30.0,2
Super built-up  Area,Ready To Move,Neeladri Nagar,GeereEc,2111.0,3.0,2.0,103.0,3
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2690.0,4.0,3.0,191.0,4
Super built-up  Area,18-May,Old Airport Road,Jaades ,2690.0,4.0,3.0,199.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2690.0,4.0,3.0,191.0,4
Super built-up  Area,21-Dec,Old Airport Road,Jaades ,2658.0,5.0,3.0,187.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2774.0,4.0,3.0,208.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2774.0,4.0,3.0,208.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2690.0,4.0,3.0,201.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2732.0,4.0,3.0,194.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2658.0,5.0,3.0,189.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2774.0,4.0,3.0,197.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2774.0,4.0,3.0,197.0,4
Super built-up  Area,18-May,Old Airport Road,Jaades ,2732.0,4.0,3.0,204.0,4
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2774.0,4.0,3.0,208.0,4
Super built-up  Area,Ready To Move,Old Airport Road,VSletes,1184.0,2.0,1.0,78.0,2
Built-up  Area,Ready To Move,Old Airport Road,Canoroy,1055.0,2.0,3.0,75.0,2
Super built-up  Area,18-Aug,Old Madras Road,Saesttt,1425.0,2.0,2.0,94.0,3
Super built-up  Area,19-Dec,Old Madras Road,SheldGr,1350.0,3.0,1.0,58.99,3
Super built-up  Area,19-Dec,Old Madras Road,SheldGr,935.0,2.0,1.0,45.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1720.0,3.0,2.0,100.0,3
Super built-up  Area,18-May,Old Madras Road,Brglede,1200.0,2.0,1.0,72.0,2
Super built-up  Area,19-Dec,Old Madras Road,SheldGr,1225.0,2.0,1.0,53.55,2
Super built-up  Area,Ready To Move,Old Madras Road,Teilsaf,1100.0,2.0,1.0,70.0,2
Super built-up  Area,18-Jun,Old Madras Road,Saesttt,1171.0,2.0,2.0,75.0,2
Super built-up  Area,19-Dec,Old Madras Road,SheldGr,935.0,2.0,1.0,45.0,2
Super built-up  Area,19-Dec,Old Madras Road,SheldGr,1065.0,2.0,1.0,47.86,2
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,2010.0,3.0,2.0,125.0,4
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,2010.0,3.0,2.0,115.0,4
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1480.0,2.0,2.0,84.0,3
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1210.0,2.0,1.0,74.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Saesttt,1171.0,2.0,2.0,72.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1480.0,3.0,2.0,95.0,3
Super built-up  Area,18-May,Old Madras Road,Saesttt,1425.0,2.0,2.0,74.31,3
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1210.0,2.0,1.0,80.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Sastaat,1859.0,3.0,2.0,121.0,3
Built-up  Area,Ready To Move,Old Madras Road,Saive L,3900.0,4.0,2.0,175.0,4
Built-up  Area,Ready To Move,Old Madras Road,GRlas V,2300.0,3.0,2.0,142.0,3
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1210.0,2.0,1.0,80.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1210.0,2.0,1.0,77.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Sastaat,1330.0,2.0,2.0,74.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1720.0,3.0,2.0,106.0,3
Super built-up  Area,Ready To Move,Old Madras Road,Brica E,2990.0,3.0,2.0,170.0,3
Super built-up  Area,18-Dec,Old Madras Road,Saesttt,1530.0,3.0,2.0,76.34,3
Super built-up  Area,18-Apr,Old Madras Road,Saesttt,1171.0,2.0,2.0,73.0,2
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1630.0,3.0,2.0,110.0,3
Super built-up  Area,18-May,Old Madras Road,SheldGr,1165.0,2.0,1.0,52.0,2
Super built-up  Area,18-Jun,Old Madras Road,Brica E,2640.0,2.0,1.0,170.0,2
Super built-up  Area,19-Dec,Old Madras Road,SheldGr,1165.0,2.0,1.0,51.42,2
Super built-up  Area,Ready To Move,Padmanabhanagar,Bhise P,1100.0,2.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Padmanabhanagar,Naasyak,1531.0,2.0,0.0,75.0,3
Super built-up  Area,Ready To Move,Padmanabhanagar,Naasyak,1400.0,3.0,0.0,65.0,3
Super built-up  Area,Ready To Move,Padmanabhanagar,Shers S,1200.0,2.0,1.0,60.0,2
Super built-up  Area,Ready To Move,Padmanabhanagar,Gancy P,1067.0,2.0,2.0,52.0,2
Super built-up  Area,Ready To Move,Padmanabhanagar,Silusti,1250.0,2.0,2.0,70.0,3
Super built-up  Area,Ready To Move,Padmanabhanagar,Naasyak,1360.0,3.0,1.0,75.0,3
Super built-up  Area,19-Sep,Padmanabhanagar,SollyCl,2051.0,3.0,2.0,170.0,3
Super built-up  Area,Ready To Move,Padmanabhanagar,Shers S,1150.0,2.0,0.0,50.0,2
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1359.0,2.0,1.0,87.0,2
Super built-up  Area,Ready To Move,Panathur,Vaesh T,1438.0,2.0,3.0,100.0,2
Super built-up  Area,18-Feb,Panathur,Prcesvy,1688.0,3.0,1.0,118.0,3
Super built-up  Area,18-May,Panathur,Prcesvy,1198.0,2.0,1.0,77.0,2
Super built-up  Area,Ready To Move,Panathur,Arentpa,1180.0,2.0,1.0,70.0,2
Super built-up  Area,Ready To Move,Panathur,SVnamnd,1546.0,3.0,2.0,99.0,3
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1195.0,2.0,1.0,84.0,2
Super built-up  Area,Ready To Move,Panathur,Saite G,1370.0,2.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Panathur,Suriaa ,1109.0,2.0,1.0,63.0,2
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1199.0,2.0,1.0,85.0,2
Super built-up  Area,Ready To Move,Panathur,Saarep ,1255.0,2.0,2.0,79.0,2
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1198.0,2.0,1.0,82.0,2
Super built-up  Area,Ready To Move,Panathur,Diensso,1235.0,2.0,3.0,65.0,2
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1199.0,2.0,1.0,85.0,2
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1199.0,2.0,1.0,85.0,2
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1713.0,3.0,1.0,120.0,3
Super built-up  Area,Ready To Move,Panathur,Isncasa,1861.0,3.0,3.0,92.0,3
Super built-up  Area,18-May,Panathur,Prcesvy,1398.0,2.0,1.0,97.0,2
Super built-up  Area,Ready To Move,Panathur,SVnamnd,1230.0,2.0,1.0,80.0,2
Super built-up  Area,Ready To Move,Panathur,Isncasa,980.0,2.0,1.0,57.0,2
Super built-up  Area,Ready To Move,Panathur,Saite G,1075.0,2.0,2.0,60.0,2
Super built-up  Area,18-May,Panathur,Diarknt,1343.0,2.0,1.0,76.0,2
Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,MaidoPl,1550.0,2.0,3.0,80.0,3
Super built-up  Area,Ready To Move,Pattandur Agrahara,Shvarji,1025.0,2.0,1.0,44.5,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,ARvasV ,1247.0,2.0,1.0,59.8,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,ShaleSp,900.0,2.0,2.0,42.0,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,MaidoPl,1302.0,2.0,1.0,66.0,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,MaidoPl,1550.0,2.0,3.0,80.0,3
Super built-up  Area,Ready To Move,Pattandur Agrahara,ARvasV ,1247.0,2.0,2.0,62.35,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,ShaleSp,1350.0,2.0,3.0,68.0,2
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.5,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.4,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.39,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1050.0,2.0,2.0,52.5,2
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1550.0,3.0,3.0,73.5,3
Super built-up  Area,20-Aug,Rachenahalli,AsNowre,440.0,1.0,0.0,28.0,1
Super built-up  Area,20-Aug,Rachenahalli,AsNowre,440.0,1.0,1.0,28.0,1
Super built-up  Area,Ready To Move,Rachenahalli,Paentta,1113.0,2.0,1.0,55.0,2
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1550.0,3.0,2.0,74.5,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.4,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.5,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1550.0,3.0,2.0,72.5,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.4,3
Super built-up  Area,20-Aug,Rachenahalli,AsNowre,690.0,1.0,1.0,39.8,1
Super built-up  Area,20-Dec,Rachenahalli,AsNowre,985.0,2.0,1.0,49.97,2
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1550.0,3.0,3.0,72.5,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.4,3
Super built-up  Area,Ready To Move,Rachenahalli,NRniad ,2710.0,3.0,2.0,170.0,3
Super built-up  Area,20-Nov,Rachenahalli,AsNowre,985.0,2.0,1.0,49.97,2
Super built-up  Area,Ready To Move,Rachenahalli,Ameur G,1856.0,3.0,3.0,106.0,3
Super built-up  Area,20-Nov,Rachenahalli,AsNowre,985.0,2.0,1.0,50.17,2
Built-up  Area,Ready To Move,Rachenahalli,NRniad ,2600.0,3.0,2.0,160.0,3
Built-up  Area,Ready To Move,Rachenahalli,NRodsen,1756.0,3.0,2.0,110.0,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1550.0,3.0,2.0,68.5,3
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1550.0,2.0,2.0,73.5,3
Super built-up  Area,20-Dec,Rachenahalli,AsNowre,985.0,2.0,1.0,50.17,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1540.0,3.0,3.0,60.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3.0,3.0,57.39,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,2.0,43.9,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancyey,1145.0,2.0,2.0,45.79,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1419.0,2.0,2.0,48.1,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,1.0,55.47,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1133.0,2.0,1.0,49.07,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,SGandea,1090.0,2.0,1.0,42.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1141.0,2.0,2.0,38.55,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1140.0,2.0,1.0,49.39,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1303.0,2.0,2.0,55.79,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1143.0,2.0,2.0,38.65,2
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Avlya A,1610.0,3.0,2.0,74.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3.0,3.0,57.39,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1128.0,2.0,2.0,38.24,2
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,Prllsan,1157.0,2.0,1.0,53.8,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1530.0,3.0,2.0,57.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancy R,1530.0,3.0,3.0,61.2,3
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Neess P,1030.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1144.0,2.0,2.0,38.55,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1196.0,2.0,2.0,51.51,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1306.0,2.0,1.0,55.91,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1608.0,3.0,1.0,67.98,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1530.0,3.0,3.0,51.87,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1151.0,2.0,2.0,39.02,2
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Spensas,1570.0,2.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1580.0,3.0,3.0,53.56,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1196.0,2.0,2.0,51.15,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1419.0,2.0,2.0,48.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,PrrvaPl,1560.0,2.0,2.0,62.4,3
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,Prllsan,648.0,1.0,1.0,31.75,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1140.0,2.0,2.0,38.55,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancyey,1090.0,2.0,2.0,43.59,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1530.0,3.0,3.0,51.77,3
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Mahla T,1023.0,2.0,2.0,42.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Sithand,1070.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Dehts H,1510.0,2.0,3.0,59.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1128.0,2.0,1.0,48.79,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1267.0,2.0,2.0,42.85,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1120.0,2.0,2.0,37.95,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1240.0,2.0,1.0,53.27,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,MaaveDu,1165.0,2.0,1.0,45.0,2
